Mask,Medial_X_mm,Medial_Y_mm,Medial_Z_mm,Lateral_X_mm,Lateral_Y_mm,Lateral_Z_mm,Medial_X_voxel,Medial_Y_voxel,Medial_Z_voxel,Lateral_X_voxel,Lateral_Y_voxel,Lateral_Z_voxel
Original,341.5724061727524,222.50009155273438,158.0,312.02161276340485,222.50009155273438,158.0,393,256,79,359,256,79
Expanded 2mm,340.7032651901245,222.50009155273438,158.0,311.152471780777,221.6309505701065,158.0,392,256,79,358,255,79
Expanded 4mm,339.83412420749664,223.36923253536224,158.0,310.2833307981491,220.76180958747864,156.0,391,257,79,357,254,78
Random 1 (65%),340.7032651901245,222.50009155273438,158.0,311.152471780777,221.6309505701065,158.0,392,256,79,358,255,79
Random 2 (40%),339.83412420749664,223.36923253536224,158.0,309.41418981552124,220.76180958747864,158.0,391,257,79,356,254,79
